Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
84342	0.1071449	-0.128610493	0.133113156	-0.41353312	-0.217166524
56937	0.2711945	0.143310583	0.464825211	0.291959937	0.164073232
317	0.02250967	0.19683959	-0.094657883	0.376204358	-0.072837975
219464	0.1412878	0.419229636	0.400268728	0.945464359	0.597317611
825	0.061597	-0.093839627	-0.056337486	-0.102119866	-0.072889738
2688	-0.06043052	-0.042768914	0.1174701	-0.014511081	-0.064197927
6758	-0.05710202	-0.085798377	-0.108546122	-0.319862616	-0.605626074
55851	-0.5865939	0.031568899	-1.704434782	0.417933101	-0.406348729
25936	-0.05782364	0.111468832	0.124279067	0.222228008	0.206078281
4807	-0.09672316	0.24142758	-0.062136849	-0.400868649	-0.346332572
92715	0.1775225	-0.160181687	-0.352524235	-0.293692708	-0.320330171
65244	-0.2344456	0.071398544	-0.448876298	0.387910073	0.295026155
5786	0.04573618	0.010920617	0.079410922	0.010971839	-0.031136904
890	-0.1812419	-0.029755646	-0.588713943	-0.12500117	-0.331235724
6894	-0.1538091	0.044976968	0.390887915	0.428384705	0.737133167
11131	0.345137	-0.061279365	0.176746022	0.065816215	-0.078695242
50855	0.02640761	0.280662186	0.187430954	0.326705164	-0.080053246
7006	-0.001959348	0.384460559	0.17575862	-0.031726418	0.092159273
84900	-0.03238582	0.085867595	0.764671373	0.873996796	0.308147435
11332	-0.1805189	0.092400843	-0.247172954	0.071611592	-0.19008014
26035	-0.7861749	-0.684822442	-0.274015617	-1.418446131	0.300617323
23223	0.1966185	-0.035106966	0.157343255	-0.076587772	-0.042438202
135114	0.1294065	-0.862999303	-0.584491251	-0.711799179	-0.06562868
51686	0.02912166	0.122675064	0.471249603	0.831141844	0.481800724
84142	-0.07234036	0.047232502	0.344553284	0.281214319	0.703484619
51182	-0.1794045	-0.063470132	-0.011296782	-0.003008462	0.023857289
8367	0.474527	-0.011782808	-0.046786523	0.044264891	0.001297294
8877	-0.3421494	0.093568869	-0.045937882	-0.243110911	-0.83463824
6175	-0.01132747	0.019860294	-0.161677053	-0.020118727	0.051873571
4176	-0.07594191	0.349145686	0.05588018	0.576985794	0.17988579
10734	0.1512019	-0.195832405	0.057474231	-0.051400561	-0.200164644
4077	0.2329794	-0.195625705	-0.10611008	0.648519712	0.24761298
10309	-0.1618472	-0.323636207	-0.171394466	-0.107682691	-0.499111478
2274	0.03823005	-0.154301076	-0.419252675	0.228114016	-0.073909911
51073	0.1475362	0.060937752	-0.01877407	-0.128168699	-0.442037885
8706	0.05316274	-0.475421453	0.156129259	0.058017214	0.820483171
2488	-0.00774525	-0.114737582	-0.084507264	0.01948395	-0.370786097
59285	-0.08452745	0.192265806	-0.109529886	-0.032408734	-0.133669515
64446	-0.01430865	-0.184216747	-0.366293519	-0.205578341	-0.186527544
24144	0.2318859	0.044358615	0.280248444	0.354348356	-0.013786226
146713	-0.09437558	0.081200406	-0.105806596	-0.263509739	-0.189277334
55255	0.2873399	0.059394956	0.810307052	0.062989145	0.398393095
9127	-0.1248711	0.076580987	-0.091054728	-0.443519734	-0.23688806
5329	0.3097349	-0.142826261	0.135391945	0.496807216	-0.198402362
2689	-0.09023502	-0.006321188	0.096850537	-0.077318136	-0.000917271
170685	-0.1963746	0.074955281	-0.040383789	-0.037722318	-0.124375107
56158	0.2088075	-0.157998902	0.048429842	-0.0181697	-0.106627108
873	0.1238938	-0.006854256	-0.074370322	0.388877653	0.383242263
6397	0.2283324	0.193840949	-0.091532251	-0.133735108	-0.192735598
